CO_CURSO,NO_CURSO
1,DIREITO
2,CIENCIAS ECONOMICAS
3,ENGENHARIA CIVIL
6,PEDAGOGIA
7,SERVICO SOCIAL
8,CIENCIAS CONTABEIS
9,AGRONOMIA
10,ENGENHARIA FLORESTAL
12,MEDICINA
13,ADMINISTRACAO
15,GEOLOGIA
16,ENGENHARIA ELETRICA
17,ENFERMAGEM
19,EDUCACAO FISICA
20,NUTRICAO
21,CIENCIAS CONTABEIS
23,PEDAGOGIA
24,GEOGRAFIA
25,HISTORIA
26,MATEMATICA
27,FISICA
29,CIENCIAS BIOLOGICAS
32,CIENCIAS BIOLOGICAS
34,MATEMATICA
36,CIENCIA DA COMPUTACAO
37,MEDICINA VETERINARIA
44,ARQUITETURA E URBANISMO
18354,MATEMATICA
21442,FARMACIA
22118,LETRAS PORTUGUES E INGLES
22837,LETRAS   LINGUA PORTUGUESA
25902,LETRAS PORTUGUES E FRANCES
25903,LETRAS   PORTUGUES E LITERATURAS
25949,LETRAS   LINGUA PORTUGUESA
26025,LETRAS PORTUGUES E ESPANHOL E RESPECTIVAS LITERATURAS
31373,COMUNICACAO SOCIAL    RADIALISMO
41673,BIBLIOTECONOMIA
41687,INFORMATICA
41690,CIENCIAS BIOLOGICAS
62906,ZOOTECNIA
62936,JORNALISMO
62940,COMUNICACAO SOCIAL   PUBLICIDADE E PROPAGANDA
84854,PSICOLOGIA
94331,MUSICA
100763,MEDICINA VETERINARIA
100768,ENGENHARIA FLORESTAL
100770,ENFERMAGEM
100772,ZOOTECNIA
100775,CIENCIAS NATURAIS E MATEMATICA   MATEMATICA
100776,CIENCIAS NATURAIS E MATEMATICA   QUIMICA
100777,CIENCIAS NATURAIS E MATEMATICA   FISICA
100778,AGRONOMIA
100800,ENGENHARIA AGRICOLA E AMBIENTAL
100802,ENGENHARIA MECANICA
100804,ENFERMAGEM
100920,ENGENHARIA DE ALIMENTOS
100928,ENFERMAGEM
101054,LETRAS   LINGUA E LITERATURAS DE LINGUA INGLESA
101184,FISICA
105652,PEDAGOGIA
105654,ADMINISTRACAO
106050,QUIMICA
106052,EDUCACAO FISICA
112770,ENGENHARIA SANITARIA E AMBIENTAL
112846,CIENCIA DA COMPUTACAO
114386,CIENCIAS NATURAIS E MATEMATICA
116550,CIENCIA E TECNOLOGIA DE ALIMENTOS
116560,GEOGRAFIA
116648,BIOMEDICINA
116662,AGRONOMIA
116690,GEOGRAFIA
116708,JORNALISMO
116720,FARMACIA
116736,ENGENHARIA AGRICOLA E AMBIENTAL
117004,PSICOLOGIA
118002,SISTEMAS DE INFORMACAO
123007,ESTATISTICA
123011,SAUDE COLETIVA
123013,FISICA
123052,CIENCIAS ECONOMICAS
123055,ENGENHARIA CIVIL
123427,DIREITO
123620,ZOOTECNIA
1103426,GEOGRAFIA
1103701,CIENCIAS SOCIAIS
1103708,FILOSOFIA
1103709,FILOSOFIA
1103710,HISTORIA
1103711,QUIMICA
1103712,QUIMICA
1103742,CIENCIAS SOCIAIS
1113617,ADMINISTRACAO PUBLICA
1127343,ADMINISTRACAO
1128077,SISTEMAS DE INFORMACAO
1168551,EDUCACAO FISICA
1188880,CIENCIAS BIOLOGICAS
1202779,MUSICA   CANTO
1202829,MUSICA   CLARINETE
1202855,MUSICA   COMPOSICAO
1202871,LETRAS   PORTUGUES E INGLES
1202899,LETRAS   PORTUGUES E ESPANHOL
1203359,MUSICA   VIOLINO
1203399,MUSICA   VIOLAO
1204146,MUSICA   REGENCIA
1205603,LETRAS   LIBRAS
1261971,MEDICINA
1261972,MEDICINA
1270010,ENGENHARIA QUIMICA
1270017,ENGENHARIA DE TRANSPORTES
1270037,ENGENHARIA DE MINAS
1270057,ENGENHARIA DE CONTROLE E AUTOMACAO
1270062,ENGENHARIA DE COMPUTACAO
1285517,CIENCIAS BIOLOGICAS
1357965,MATEMATICA
1420159,CINEMA E AUDIOVISUAL
1425400,LICENCIATURA EM TECNOLOGIA EDUCACIONAL
116,GEOLOGIA
119,ESTATISTICA
122,CIENCIAS ECONOMICAS
126,SERVICO SOCIAL
127,CIENCIA DA COMPUTACAO
128,RELACÕES INTERNACIONAIS
132,ARQUITETURA E URBANISMO
133,MUSICA
134,EDUCACAO ARTISTICA
135,AGRONOMIA
136,ENGENHARIA CIVIL
137,ENGENHARIA ELETRICA
138,ENGENHARIA MECANICA
139,ENGENHARIA FLORESTAL
140,MEDICINA
141,ODONTOLOGIA
142,EDUCACAO FISICA
143,ENFERMAGEM
144,NUTRICAO
145,ADMINISTRACAO
146,BIBLIOTECONOMIA
148,DIREITO
149,CIENCIAS CONTABEIS
150,PEDAGOGIA
151,ARTES PLASTICAS
156,CIENCIA POLITICA
157,ARQUIVOLOGIA
158,FISICA
159,QUIMICA
160,CIENCIAS BIOLOGICAS
161,MATEMATICA
162,LETRAS   PORTUGUES
163,PEDAGOGIA
164,EDUCACAO ARTISTICA
165,DIREITO
166,LETRAS   ESPANHOL
167,CIENCIAS CONTABEIS
18030,CIENCIAS FARMACEUTICAS
18031,MEDICINA VETERINARIA
18032,COMPUTACAO
18033,ENGENHARIA DE REDES DE COMUNICACAO
20551,LETRAS   JAPONES
22122,MATEMATICA
22844,PSICOLOGIA
22851,ARTES CENICAS
26030,FISICA
26033,PSICOLOGIA
26035,MUSICA
26039,LETRAS   FRANCES
26040,MUSICA   COMPOSICAO
